Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary
73,0.45,0.49,2,149,3,0,0,product_mng,high
74,0.09,0.87,7,295,4,0,0,product_mng,low
75,0.11,0.97,6,277,4,0,0,product_mng,medium
76,0.11,0.79,7,306,4,0,0,product_mng,medium
77,0.1,0.83,6,295,4,0,0,product_mng,medium
78,0.4,0.54,2,137,3,0,0,marketing,medium
79,0.43,0.56,2,157,3,0,0,sales,low
80,0.39,0.56,2,142,3,0,0,accounting,low
81,0.45,0.54,2,140,3,0,0,support,low
82,0.38,0.49,2,151,3,0,0,technical,low
83,0.79,0.59,4,139,3,0,1,management,low
84,0.84,0.85,4,249,6,0,0,marketing,low
85,0.11,0.77,6,291,4,0,0,marketing,low
86,0.11,0.87,6,305,4,0,0,marketing,low
87,0.17,0.84,5,232,3,0,0,sales,low
88,0.44,0.45,2,132,3,0,0,sales,low
89,0.37,0.57,2,130,3,0,0,sales,low
90,0.1,0.79,6,291,4,0,0,sales,low
91,0.4,0.5,2,130,3,0,0,sales,low
92,0.89,1,5,246,5,0,0,sales,low
93,0.42,0.48,2,143,3,0,0,sales,low
94,0.46,0.55,2,129,3,0,0,sales,low
95,0.09,0.83,6,255,4,0,0,sales,low
96,0.37,0.51,2,155,3,0,0,sales,low
97,0.1,0.77,6,265,4,0,0,sales,low
98,0.1,0.84,6,279,4,0,0,sales,low
99,0.11,0.97,6,284,4,0,0,sales,low
100,0.9,1,5,221,6,0,0,sales,medium
101,0.38,0.52,2,154,3,0,0,sales,medium
102,0.36,0.52,2,147,3,0,0,sales,medium
103,0.42,0.46,2,150,3,0,0,sales,medium
104,0.09,0.94,7,267,4,0,0,sales,medium
105,0.43,0.52,2,158,3,0,0,sales,medium
106,0.24,0.46,7,224,5,0,0,accounting,medium
107,0.91,1,4,257,5,0,0,accounting,medium
108,0.44,0.5,2,148,3,0,0,accounting,medium
109,0.71,0.87,3,177,4,0,0,hr,medium
110,0.4,0.49,2,155,3,0,0,hr,medium
111,0.43,0.47,2,144,3,0,0,hr,medium
112,0.09,0.85,6,289,4,0,0,hr,high
113,0.43,0.52,2,160,3,0,0,technical,low
114,0.9,0.96,4,258,5,0,0,technical,medium
115,0.84,1,5,234,5,0,0,technical,medium
116,0.37,0.48,2,137,3,0,0,technical,medium
117,0.86,0.68,5,263,2,0,0,technical,medium
118,0.11,0.84,6,251,4,0,0,technical,low
119,0.37,0.57,2,133,3,0,0,technical,low
120,0.4,0.46,2,132,3,0,0,technical,low
121,0.14,0.62,4,158,4,1,0,technical,low
122,0.4,0.46,2,135,3,0,0,technical,low
123,0.75,1,4,216,6,0,0,technical,low
124,0.11,0.84,6,300,5,1,0,support,low
125,0.46,0.49,2,138,3,0,0,support,low
126,0.11,0.92,6,260,4,0,0,support,low
127,0.38,0.49,2,132,3,0,0,support,low
128,0.7,0.89,3,183,5,0,0,support,low
129,0.09,0.82,6,250,4,0,0,support,low
130,0.37,0.45,2,151,3,0,0,support,low
131,0.1,0.83,6,292,4,0,0,support,low
132,0.38,0.57,2,140,3,0,0,support,low
133,0.9,1,5,221,5,0,0,support,low
134,0.44,0.51,2,138,3,0,0,support,low
135,0.36,0.5,2,132,3,0,0,technical,low
136,0.31,0.84,7,133,5,0,0,technical,low
137,0.1,0.84,6,283,4,1,0,technical,low
138,0.42,0.48,2,129,3,0,0,management,low
139,0.74,1,4,249,5,0,0,IT,low
140,0.73,0.87,5,257,5,0,0,IT,low
141,0.09,0.96,6,245,4,0,0,IT,low
142,0.45,0.53,2,155,3,0,0,IT,low
143,0.11,0.8,6,256,4,0,0,IT,low
144,0.37,0.47,2,152,3,0,0,product_mng,low
145,0.84,0.99,4,267,5,0,0,product_mng,low
146,0.41,0.46,2,151,3,0,0,product_mng,low
147,0.76,0.92,4,239,5,0,0,product_mng,low
148,0.11,0.87,6,306,4,0,0,IT,low
149,0.84,0.88,4,263,5,1,0,marketing,low
150,0.39,0.5,2,147,3,0,0,marketing,low
151,0.11,0.91,6,278,4,0,0,marketing,low
152,0.45,0.56,2,154,3,0,0,marketing,low
153,0.37,0.52,2,143,3,0,0,marketing,low
154,0.4,0.52,2,155,3,0,0,marketing,low
155,0.39,0.48,2,160,3,0,0,sales,low
156,0.11,0.8,6,304,4,0,0,accounting,low
157,0.83,1,5,240,5,0,0,support,low
158,0.11,0.92,6,305,4,0,0,technical,low
159,0.39,0.5,2,136,3,0,0,management,low
160,0.45,0.45,2,132,3,0,0,marketing,low
161,0.1,0.95,7,301,4,0,0,marketing,low
162,0.9,0.98,5,243,6,0,0,marketing,low
163,0.45,0.51,2,147,3,0,0,sales,low
164,0.79,0.89,5,239,5,0,0,sales,low
165,0.9,0.99,5,260,5,0,0,sales,low
166,0.11,0.84,7,296,4,0,0,sales,low
167,0.43,0.55,2,129,3,0,0,sales,low
168,0.31,0.54,5,132,5,0,0,sales,low
169,0.32,0.5,2,135,5,0,0,sales,low
170,0.45,0.57,2,158,3,0,0,sales,low
171,0.81,0.99,4,259,5,0,0,sales,low
172,0.41,0.46,2,160,3,0,1,sales,low
173,0.11,0.78,7,278,4,0,0,sales,low
174,0.1,0.88,6,284,4,0,0,sales,low
175,0.7,0.53,2,274,4,0,0,sales,low
176,0.54,0.74,4,164,2,0,0,sales,low
177,0.41,0.48,2,148,3,0,0,sales,low
178,0.38,0.5,2,140,3,0,0,sales,medium
179,0.37,0.51,2,127,3,0,0,sales,medium
180,0.11,0.85,6,308,5,0,0,sales,medium
181,0.4,0.47,2,146,3,0,0,sales,medium
182,0.1,0.84,6,261,4,0,0,accounting,medium
183,0.89,0.99,5,257,5,0,0,accounting,medium
184,0.11,0.8,6,285,4,0,0,accounting,medium
185,0.36,0.55,2,141,3,0,0,hr,medium
186,0.4,0.46,2,127,3,0,0,hr,medium
187,0.09,0.85,6,297,4,0,0,hr,medium
188,0.4,0.46,2,143,3,0,0,hr,medium
189,0.37,0.55,2,152,3,0,0,technical,medium
190,0.44,0.51,2,156,3,0,0,technical,high
191,0.09,0.8,7,283,5,0,0,technical,low
192,0.92,0.87,4,226,6,1,0,technical,medium
193,0.74,0.91,4,232,5,0,0,technical,medium
194,0.09,0.82,6,249,4,0,0,technical,medium
195,0.89,0.95,4,275,5,0,0,technical,medium
196,0.09,0.8,6,304,4,0,0,technical,low
197,0.27,0.54,7,278,3,0,0,technical,low
198,0.1,0.91,6,287,4,0,0,technical,low
199,0.1,0.89,7,285,4,0,0,technical,low
200,0.77,0.94,5,226,6,0,0,support,low
201,0.9,0.82,5,259,5,0,0,support,low
202,0.39,0.5,2,135,3,0,0,support,low
203,0.76,1,5,219,5,0,0,support,low
204,0.1,0.93,6,256,4,0,0,support,low
205,0.87,0.9,5,254,6,0,0,support,low
206,0.38,0.5,2,153,3,0,0,support,low
207,0.77,0.99,5,228,5,0,0,support,low
208,0.78,0.87,4,228,5,0,0,support,low
209,0.44,0.5,2,128,3,0,0,support,low
210,0.38,0.52,2,153,3,0,0,support,low
211,0.43,0.46,2,156,3,0,0,technical,low
212,0.39,0.5,4,294,3,0,0,technical,low
213,0.88,1,5,219,5,0,0,technical,low
214,0.45,0.46,2,153,3,0,0,management,low
215,0.4,0.53,2,151,3,0,0,IT,low
216,0.36,0.51,2,155,3,0,0,IT,low
217,0.36,0.48,2,158,3,0,0,IT,low
218,0.9,0.98,5,245,5,0,0,IT,low
219,0.43,0.53,2,131,3,0,0,IT,low
220,0.89,0.87,5,225,5,0,0,product_mng,low
221,0.1,0.84,6,286,4,0,0,product_mng,low
222,0.37,0.5,2,135,3,0,0,product_mng,low
223,0.37,0.51,2,153,3,0,0,product_mng,low
224,0.87,0.9,5,252,5,0,0,IT,low
225,0.4,0.56,2,149,3,0,0,accounting,low
226,0.9,0.97,4,258,5,0,0,accounting,low
227,0.37,0.46,2,158,3,0,0,hr,low
228,0.44,0.54,2,149,3,0,0,hr,low
229,0.85,0.95,5,236,5,0,0,hr,low
230,0.78,0.98,5,239,6,0,0,marketing,low
231,0.42,0.47,2,159,3,0,0,marketing,low
232,0.92,0.99,5,255,6,0,0,sales,low
233,0.11,0.83,6,244,4,0,0,accounting,low
234,0.42,0.56,2,134,3,0,0,support,low
235,0.48,0.57,4,270,4,0,0,technical,low
236,0.83,0.85,4,255,5,0,0,management,low
237,0.4,0.53,2,151,3,0,0,marketing,low
238,0.43,0.45,2,135,3,0,0,marketing,low
239,0.43,0.53,2,146,3,0,0,marketing,low
240,0.1,0.97,7,254,4,0,0,sales,low
241,0.1,0.87,7,289,4,0,0,sales,low
242,0.37,0.46,2,156,3,0,0,sales,low
243,0.38,0.53,2,156,3,0,0,sales,low
244,0.4,0.5,2,128,3,0,0,sales,low
245,0.89,0.86,5,275,5,0,0,sales,low
246,0.45,0.46,2,155,3,0,0,sales,low
247,0.37,0.48,2,159,3,0,0,sales,low
248,0.46,0.49,2,148,3,0,0,sales,low
249,0.87,0.91,4,228,5,0,0,sales,low
250,0.11,0.84,6,298,4,0,0,sales,low
251,0.79,0.87,5,261,5,0,0,sales,low
252,0.79,0.92,5,254,6,0,0,sales,low
253,0.19,0.59,7,192,3,0,0,sales,low
254,0.87,0.98,4,248,5,0,0,sales,low
255,0.6,0.92,2,258,5,0,0,sales,low
256,0.44,0.45,2,156,3,0,0,sales,medium
257,0.11,0.81,6,266,4,1,0,sales,medium
258,0.42,0.54,2,156,3,0,0,sales,medium
259,0.88,0.88,5,232,5,1,0,accounting,medium
260,0.11,0.84,6,287,4,0,0,accounting,medium
261,0.46,0.46,2,154,3,0,0,accounting,medium
262,0.82,0.97,5,263,5,0,0,hr,medium
263,0.44,0.56,2,131,3,0,0,hr,medium
264,0.11,0.78,6,260,4,0,0,hr,medium
265,0.42,0.5,2,139,3,0,0,hr,medium
266,0.84,0.93,4,251,5,0,0,technical,medium
267,0.11,0.95,6,286,4,0,0,technical,medium
268,0.45,0.53,2,129,3,0,0,technical,high
269,0.38,0.56,2,156,3,0,0,technical,low
270,0.38,0.86,6,139,6,0,0,technical,medium
271,0.44,0.51,2,127,3,0,0,technical,medium
272,0.11,0.84,6,251,4,0,0,technical,medium
273,0.81,0.93,5,270,5,0,0,technical,medium
274,0.09,0.96,6,296,4,0,0,technical,low
275,0.11,0.9,6,254,4,0,0,technical,low
276,0.81,0.95,5,238,6,0,0,technical,low
277,0.1,0.97,6,267,4,1,0,support,low
278,0.74,0.89,5,229,6,0,0,support,low
279,0.09,0.78,6,254,4,0,0,support,low
280,0.82,0.81,4,233,4,1,0,support,low
281,0.1,0.98,6,268,4,0,0,support,low
282,0.27,0.56,3,301,3,0,0,support,low
283,0.83,0.92,5,267,6,0,0,support,low
284,0.1,0.93,6,289,4,1,0,support,low
285,0.38,0.47,2,144,3,0,0,support,low
286,0.4,0.56,2,148,3,0,0,support,low
287,0.11,0.83,6,306,4,0,0,support,low
288,0.11,0.79,6,292,4,0,1,technical,low
289,0.82,0.91,5,232,5,0,0,technical,low
290,0.36,0.48,2,137,3,0,0,technical,low
291,0.4,0.46,2,128,3,0,0,management,low
292,0.87,0.84,5,231,5,0,0,IT,low
293,0.41,0.49,2,146,3,0,0,IT,low
294,0.11,0.91,6,308,4,1,0,IT,low
295,0.1,0.93,6,253,4,0,0,IT,medium
296,0.38,0.51,2,146,3,0,0,IT,medium
297,0.39,0.55,2,156,3,0,0,product_mng,medium
298,0.4,0.52,2,147,3,0,0,product_mng,medium
299,0.45,0.48,2,136,3,0,0,product_mng,medium
300,0.74,0.84,5,249,5,0,0,product_mng,medium
301,0.45,0.55,2,151,3,0,0,IT,medium
302,0.12,1,3,278,4,0,0,RandD,medium
303,0.1,0.77,7,250,5,0,0,RandD,medium
304,0.37,0.55,2,127,3,0,0,RandD,medium
305,0.89,0.87,5,255,5,0,0,RandD,medium
306,0.45,0.47,2,135,3,0,0,RandD,medium
307,0.37,0.46,2,149,3,0,0,marketing,high
308,0.11,0.81,5,287,4,0,0,sales,low
309,0.41,0.48,2,145,3,0,0,accounting,medium
310,0.1,0.94,6,285,4,0,0,support,medium
311,0.1,0.93,7,305,4,0,0,technical,medium
312,0.11,0.95,7,300,4,0,0,management,medium
313,0.4,0.54,2,139,3,0,0,marketing,low
314,0.41,0.49,2,130,3,0,0,marketing,low
315,0.1,0.81,6,268,4,0,0,marketing,low
316,0.73,0.86,4,245,6,0,0,sales,low
317,0.43,0.47,2,135,3,0,0,sales,low
318,0.37,0.46,2,153,3,0,0,sales,low
319,0.11,0.94,6,276,4,0,0,sales,low
320,0.4,0.46,2,130,3,0,0,sales,low
321,0.41,0.54,2,153,3,1,0,sales,low
322,0.82,0.84,5,244,5,0,0,sales,low
323,0.61,0.47,2,253,3,0,0,sales,low
324,0.11,0.91,7,287,4,0,0,sales,low
325,0.37,0.45,2,131,3,0,0,sales,low
326,0.41,0.52,2,135,3,0,0,sales,low
327,0.37,0.52,2,157,3,0,0,sales,low
328,0.88,0.99,5,262,6,0,0,sales,low
329,0.1,0.85,6,266,4,0,0,sales,low
330,0.44,0.48,2,148,3,0,0,sales,low
331,0.38,0.57,2,140,3,0,0,sales,low
332,0.11,0.85,7,302,4,0,0,sales,low
333,0.09,0.98,6,271,4,0,0,sales,low
334,0.45,0.52,2,145,3,0,0,sales,medium
335,0.1,0.81,6,290,4,0,0,accounting,medium
336,0.45,0.47,2,151,3,0,0,accounting,medium
337,0.77,0.87,5,266,5,0,0,accounting,medium
338,0.44,0.51,2,140,3,0,0,hr,medium
339,0.39,0.5,2,142,3,0,0,hr,medium
340,0.1,0.91,6,246,4,0,0,hr,medium
341,0.09,0.89,7,308,5,0,0,hr,medium
342,0.37,0.47,2,141,3,0,0,technical,medium
343,0.9,1,5,232,5,0,0,technical,medium
344,0.41,0.56,2,143,3,0,0,technical,medium
345,0.37,0.52,2,155,3,0,0,technical,medium
346,0.1,0.86,6,278,4,0,0,technical,high
347,0.81,1,4,253,5,0,0,technical,low
348,0.11,0.8,6,282,4,0,0,technical,medium
349,0.11,0.84,7,264,4,0,0,technical,medium
350,0.4,0.46,2,149,3,0,0,technical,medium
351,0.09,0.8,6,304,5,0,0,technical,medium
352,0.48,0.93,3,219,6,0,0,technical,low
353,0.91,0.91,4,262,6,0,0,support,low
354,0.43,0.57,2,135,3,0,0,support,low
355,0.33,0.88,6,219,5,0,0,support,low
356,0.41,0.57,2,136,3,0,0,support,low
357,0.41,0.55,2,154,3,0,0,support,low
358,0.37,0.54,2,149,3,0,0,support,low
359,0.31,0.62,6,135,5,0,0,support,low
360,0.09,0.91,6,275,4,0,0,support,low
361,0.1,0.87,6,290,4,0,0,support,low
362,0.76,0.9,4,263,5,0,0,support,low
363,0.41,0.54,2,145,3,0,0,support,low
364,0.72,0.96,5,267,5,0,0,technical,low
365,0.4,0.5,2,141,3,1,0,technical,low
366,0.91,0.87,4,235,5,0,0,technical,low
367,0.1,0.83,6,258,4,0,0,management,low
368,0.4,0.56,2,131,3,0,0,IT,low
369,0.82,0.86,5,243,5,0,0,IT,low
370,0.1,0.82,6,266,4,0,0,IT,low
371,0.37,0.45,2,142,3,0,0,IT,low
372,0.36,0.51,2,135,3,0,0,IT,low
373,0.39,0.48,2,141,3,0,0,product_mng,medium
374,0.36,0.57,2,142,3,0,0,product_mng,medium
375,0.86,0.84,5,254,5,0,0,product_mng,medium
376,0.73,0.99,5,262,5,0,0,product_mng,medium
377,0.56,0.71,4,296,2,0,0,IT,medium
378,0.44,0.56,2,158,3,0,0,accounting,medium
379,0.31,0.56,4,238,2,0,0,accounting,medium
380,0.77,0.93,4,231,5,0,0,hr,medium
381,0.44,0.45,2,156,3,0,0,hr,medium
382,0.38,0.46,2,145,3,0,0,hr,medium
383,0.45,0.48,2,144,3,0,0,marketing,medium
384,0.38,0.51,2,159,3,0,0,sales,medium
385,0.36,0.48,2,156,3,0,0,accounting,high
386,0.75,0.9,5,256,5,0,0,support,low
387,0.1,0.93,6,298,4,0,0,technical,medium
388,0.1,0.97,6,247,4,0,0,management,medium
389,0.45,0.5,2,157,3,0,0,marketing,medium
390,0.42,0.57,2,154,3,1,0,marketing,medium
391,0.78,1,4,253,5,0,0,marketing,low
392,0.45,0.55,2,148,3,0,0,sales,low
393,0.84,1,4,261,5,0,0,sales,low
394,0.11,0.93,6,282,4,0,0,sales,low
395,0.42,0.56,2,133,3,0,0,sales,low
396,0.45,0.46,2,128,3,0,0,sales,low
397,0.46,0.57,2,139,3,0,0,sales,low
398,0.09,0.79,6,293,5,0,0,sales,low
399,0.87,0.83,4,265,6,0,0,sales,low
400,0.1,0.87,6,250,4,0,0,sales,low
401,0.91,1,5,251,6,0,0,sales,low
402,0.76,0.92,4,246,5,0,0,sales,low
403,0.74,1,5,275,5,0,0,sales,low
404,0.92,0.93,5,240,5,0,0,sales,low
405,0.76,0.87,5,245,5,0,0,sales,low
406,0.47,0.5,4,254,4,0,0,sales,low
407,0.73,0.99,5,241,5,0,0,sales,low
408,0.09,0.94,6,257,4,0,0,sales,low
409,0.91,0.92,4,246,5,0,0,sales,low
410,0.82,0.98,4,233,5,0,0,sales,low
411,0.28,0.45,6,218,4,0,0,accounting,low
412,0.84,0.99,4,262,6,0,0,accounting,medium
413,0.45,0.53,2,138,3,0,0,accounting,medium
414,0.45,0.54,2,142,3,0,0,hr,medium
415,0.91,0.97,5,233,5,0,0,hr,medium
416,0.42,0.48,2,155,3,0,0,hr,medium
417,0.82,1,4,229,6,0,0,hr,medium
418,0.11,0.9,6,264,4,0,0,technical,medium
419,0.42,0.53,3,199,4,0,0,technical,medium
420,0.82,0.85,4,223,5,0,0,technical,medium
421,0.09,0.96,6,268,4,0,0,technical,medium
422,0.1,0.94,6,287,4,0,0,technical,medium
423,0.86,1,5,257,5,0,0,technical,medium
424,0.4,0.46,2,143,3,0,0,technical,high
425,0.45,0.46,2,130,3,0,0,technical,low
426,0.42,0.51,2,136,3,0,0,technical,medium
427,0.74,0.92,4,261,5,0,0,technical,medium
428,0.55,0.6,3,180,4,0,0,technical,medium
429,0.37,0.45,2,126,3,0,0,support,medium
430,0.41,0.52,2,127,3,1,0,support,low
431,0.89,0.65,5,195,6,0,0,support,low
432,0.41,0.57,2,160,3,0,0,support,low
433,0.44,0.51,2,150,3,0,0,support,low
434,0.87,0.84,4,264,6,0,0,support,low
435,0.1,0.84,6,309,4,0,0,support,low
436,0.41,0.47,2,135,3,0,0,support,low
437,0.11,0.85,6,261,4,0,0,support,low
438,0.43,0.53,2,160,3,0,0,support,low
439,0.77,0.9,4,237,5,0,0,support,low
440,0.41,0.52,2,136,3,0,0,technical,low
441,0.41,0.48,2,139,3,0,0,technical,low
442,0.36,0.78,2,151,4,0,0,technical,low
443,0.77,1,5,229,5,0,0,management,low
444,0.81,0.98,5,245,5,0,0,IT,low
445,0.39,0.54,2,127,3,0,0,IT,low
446,0.09,0.94,6,283,5,0,0,IT,low
447,0.44,0.46,2,143,3,0,0,IT,low
448,0.1,0.84,5,298,4,0,0,IT,low
449,0.36,0.48,2,159,3,0,0,product_mng,low
450,0.81,0.92,5,239,5,0,0,product_mng,low
451,0.81,0.9,4,226,5,0,0,product_mng,medium
452,0.85,0.98,5,248,5,0,0,product_mng,medium
453,0.1,0.87,6,286,4,0,0,IT,medium
454,0.37,0.54,2,145,3,0,0,RandD,medium
455,0.09,0.97,7,254,4,1,0,RandD,medium
456,0.44,0.53,2,127,3,0,0,RandD,medium
457,0.86,0.93,5,223,5,0,0,RandD,medium
458,0.77,1,4,255,5,0,0,RandD,medium
459,0.41,0.48,2,136,3,0,0,marketing,medium
460,0.4,0.48,2,137,3,0,0,sales,medium
461,0.43,0.49,2,135,3,0,0,accounting,medium
462,0.43,0.5,2,137,3,0,0,support,medium
463,0.8,0.53,3,255,5,0,0,technical,high
464,0.8,0.85,4,273,5,0,0,management,low
465,0.82,0.98,5,234,5,0,0,marketing,medium
466,0.37,0.54,2,152,3,0,0,marketing,medium
467,0.37,0.48,2,134,3,0,0,marketing,medium
468,0.09,0.95,6,292,4,0,0,sales,medium
469,0.9,0.92,5,245,5,0,0,sales,low
470,0.41,0.52,2,159,3,0,0,sales,low
471,0.1,0.85,6,260,4,0,0,sales,low
472,0.44,0.53,2,149,3,0,0,sales,low
473,0.89,0.85,5,266,5,0,0,sales,low
474,0.42,0.56,2,149,3,0,0,sales,low
475,0.87,1,5,242,5,0,0,sales,low
476,0.45,0.57,2,134,3,0,0,sales,low
477,0.11,0.87,5,271,4,0,0,sales,low
478,0.09,0.79,6,275,4,0,0,sales,low
479,0.76,0.83,5,227,5,0,0,sales,low
480,0.11,0.96,7,277,5,0,0,sales,low
481,0.37,0.49,2,151,3,0,0,sales,low
482,0.1,0.79,6,274,4,0,0,sales,low
483,0.77,0.87,4,242,6,0,0,sales,low
484,0.42,0.54,2,143,3,1,0,sales,low
485,0.38,0.52,2,145,3,0,0,sales,low
486,0.32,0.95,5,172,2,0,0,sales,low
487,0.38,0.49,2,135,3,0,0,accounting,low
488,0.19,1,4,192,4,0,0,accounting,low
489,0.1,0.83,7,276,4,0,0,accounting,low
490,0.76,0.88,4,206,4,0,0,hr,medium
491,0.53,0.56,4,281,6,0,0,hr,medium
492,0.39,0.51,2,151,3,0,0,hr,medium
493,0.11,0.83,6,244,4,0,0,hr,medium
494,0.1,0.94,6,309,4,0,0,technical,medium
495,0.84,1,5,218,5,0,0,technical,medium
496,0.82,0.99,4,263,6,0,0,technical,medium
497,0.1,0.82,6,244,4,0,0,technical,medium
498,0.59,0.49,7,263,4,0,0,technical,medium
499,0.44,0.48,2,143,3,0,0,technical,medium
500,0.89,0.95,2,181,5,0,0,technical,medium
501,0.91,0.84,5,265,5,0,0,technical,medium
502,0.66,0.57,5,161,5,0,0,technical,high
503,0.11,0.87,7,282,5,0,0,technical,low
504,0.43,0.51,2,155,3,0,0,technical,medium
505,0.78,0.83,4,217,6,0,0,support,medium
506,0.11,0.97,6,289,5,0,0,support,medium
507,0.83,0.98,4,259,5,0,0,support,medium
508,0.39,0.54,2,158,3,0,0,support,low
509,0.38,0.55,2,158,3,0,0,support,low
510,0.37,0.57,2,155,3,0,0,support,low
511,0.44,0.48,2,146,3,0,0,support,low
512,0.53,0.85,2,164,5,0,0,support,low
513,0.09,0.96,6,259,4,0,0,support,low
514,0.11,0.89,6,293,4,0,0,support,low
515,0.83,0.96,5,275,5,0,0,support,low
516,0.88,1,5,219,6,1,0,technical,low
517,0.1,0.89,6,247,4,0,0,technical,low
518,0.09,0.86,7,309,4,0,0,technical,low
519,0.44,0.54,2,151,3,0,0,management,low
520,0.39,0.51,2,129,3,0,0,IT,low
521,0.87,0.94,4,274,5,0,0,IT,low
522,0.74,0.99,4,233,5,0,0,IT,low
523,0.1,0.95,7,289,4,0,0,IT,low
524,0.74,0.82,4,239,6,0,0,IT,low
525,0.75,0.99,5,221,5,0,0,product_mng,low
526,0.41,0.56,2,150,3,0,0,product_mng,low
527,0.41,0.45,2,144,3,1,0,product_mng,low
528,0.09,0.9,7,289,4,0,0,product_mng,low
529,0.09,0.8,6,301,5,0,0,IT,medium
530,0.39,0.57,2,145,3,0,0,accounting,medium
531,0.4,0.56,2,137,3,0,0,accounting,medium
532,0.37,0.54,2,131,3,1,0,hr,medium
533,0.1,0.84,6,246,4,0,0,hr,medium
534,0.43,0.51,2,136,3,0,0,hr,medium
535,0.75,0.85,5,240,6,1,0,marketing,medium
536,0.37,0.56,2,156,3,0,0,sales,medium
537,0.11,0.85,6,305,4,0,0,accounting,medium
538,0.45,0.45,2,154,3,1,0,support,medium
539,0.87,1,5,261,5,1,0,technical,medium
540,0.11,0.94,7,244,4,0,0,management,medium
541,0.45,0.54,2,129,3,0,0,marketing,high
542,0.81,0.87,4,254,5,0,0,marketing,low
543,0.77,0.91,5,236,5,0,0,marketing,medium
544,0.89,0.92,5,237,5,0,0,sales,medium
545,0.43,0.49,2,135,3,0,0,sales,medium
546,0.78,1,5,236,5,0,0,sales,medium
547,0.37,0.47,2,149,3,0,0,sales,low
548,0.37,0.5,2,141,3,0,0,sales,low
